"Moving Violations",,
"67th Precinct",,
"   March ",,
"Offense Description","MTD 2020","YTD 2020"
"Backing Unsafely",2,3
"Bike Lane",0,0
"Bus Lane",5,17
"Cell Phone",16,106
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",135,684
"Driving Too Slow",0,0
Equipment,19,55
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",93,349
"Failure to Signal",2,8
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",2,6
"Improper Taxi Pickup",1,3
"Improper Turn",44,258
"Improper/Missing Plates",0,2
"Lamps and Other Equipment on Bicycle",1,1
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",0,0
"Obstructed Plate",11,33
"One Way Street",0,2
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",88,481
"School Bus",5,6
"Scooter In NYC",0,0
"Seat Belt",20,122
Speeding,163,471
Spillback,0,2
"TBTA Rule",0,0
Tints,10,36
"TLC (Other)",0,0
"Truck Route",0,9
Uninspected,3,10
Uninsured,7,22
"Unlicensed Operator",49,177
Unregistered,15,54
"Unsafe Lane Change",1,1
"Other Movers",57,185
"067TOTAL Movers ",749,3103
"* All figures are preliminary and subject to change.",,
