"Moving Violations",,
"69th Precinct",,
"   April ",,
"Offense Description","MTD 2020","YTD 2020"
"Backing Unsafely",0,1
"Bike Lane",0,1
"Bus Lane",0,8
"Cell Phone",0,94
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",0,500
"Driving Too Slow",0,0
Equipment,0,13
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",0,101
"Failure to Signal",0,27
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,1
"Improper Passing",0,7
"Improper Taxi Pickup",0,0
"Improper Turn",0,184
"Improper/Missing Plates",0,2
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",0,1
"Obstructed Plate",0,2
"One Way Street",0,2
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",4,98
"School Bus",0,1
"Scooter In NYC",0,0
"Seat Belt",0,169
Speeding,1,225
Spillback,0,0
"TBTA Rule",0,0
Tints,0,106
"TLC (Other)",0,0
"Truck Route",0,20
Uninspected,0,6
Uninsured,0,24
"Unlicensed Operator",2,101
Unregistered,2,19
"Unsafe Lane Change",0,5
"Other Movers",0,216
"069TOTAL Movers ",9,1934
"* All figures are preliminary and subject to change.",,
