"Moving Violations",,
"81st Precinct",,
"   April ",,
"Offense Description","MTD 2020","YTD 2020"
"Backing Unsafely",0,5
"Bike Lane",0,3
"Bus Lane",0,0
"Cell Phone",0,48
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",0,396
"Driving Too Slow",0,0
Equipment,0,190
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",0,93
"Failure to Signal",0,146
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,1
"Improper Passing",0,6
"Improper Taxi Pickup",0,0
"Improper Turn",0,23
"Improper/Missing Plates",0,8
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",0,1
"Obstructed Plate",1,10
"One Way Street",1,8
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,1
"Red Light",1,99
"School Bus",0,0
"Scooter In NYC",0,0
"Seat Belt",0,226
Speeding,0,30
Spillback,0,1
"TBTA Rule",0,0
Tints,0,211
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,11
Uninsured,3,120
"Unlicensed Operator",2,139
Unregistered,4,52
"Unsafe Lane Change",0,0
"Other Movers",1,156
"081TOTAL Movers ",13,1984
"* All figures are preliminary and subject to change.",,
