Brooklyn North,,
Backing Unsafely,0,18
Bike Lane,3,190
Bus Lane,1,43
Cell Phone,8,474
Commercial Veh on Pkwy,0,3
Cruising For Passengers,0,0
Disobey Traffic Control Device,48,5629
Driving Too Slow,0,1
Equipment,7,664
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,2
Fail to yield Right of Way to Pedestrian,3,1353
Failure to Signal,3,561
Failure to yield Right of Way to Vehicle,0,3
Following Too Closely,1,9
Improper Passing,7,80
Improper Taxi Pickup,0,2
Improper Turn,2,1161
Improper/Missing Plates,0,29
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),0,22
Not Giving R of W to Veh.,1,43
Obstructed Plate,4,144
One Way Street,3,129
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,3
Red Light,32,1936
School Bus,0,34
Scooter In NYC,0,5
Seat Belt,17,1241
Speeding,26,1102
Spillback,0,20
TBTA Rule,0,0
Tints,3,1320
TLC (Other),0,0
Truck Route,1,135
Uninspected,1,65
Uninsured,14,324
Unlicensed Operator,37,1197
Unregistered,21,313
Unsafe Lane Change,0,25
Other Movers,21,1746
TOTAL Movers,264,20027
