Bronx,,
Backing Unsafely,1,37
Bike Lane,14,97
Bus Lane,16,185
Cell Phone,122,1079
Commercial Veh on Pkwy,2,3
Cruising For Passengers,0,0
Disobey Traffic Control Device,419,6630
Driving Too Slow,1,1
Equipment,165,1292
Equipment (Other),0,3
Excessive Noise,1,2
Fail to Keep Right,2,3
Fail to yield Right of Way to Pedestrian,359,3178
Failure to Signal,41,446
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,7,23
Improper Passing,11,67
Improper Taxi Pickup,0,1
Improper Turn,355,3484
Improper/Missing Plates,33,106
Lamps and Other Equipment on Bicycle,2,4
Motorcycle (Other),11,22
Not Giving R of W to Veh.,7,64
Obstructed Plate,101,499
One Way Street,8,100
Overheight,1,2
Overlength,0,4
Overweight,0,1
Overwidth,0,1
Pavement Markings,5,17
Red Light,224,1857
School Bus,0,116
Scooter In NYC,0,0
Seat Belt,161,1319
Speeding,1441,5830
Spillback,3,46
TBTA Rule,0,1
Tints,197,1661
TLC (Other),0,0
Truck Route,1,11
Uninspected,46,192
Uninsured,138,791
Unlicensed Operator,530,2597
Unregistered,263,967
Unsafe Lane Change,23,139
Other Movers,310,2337
TOTAL Movers,5021,35215
