Patrol Bureau,,
Backing Unsafely,11,158
Bike Lane,60,724
Bus Lane,10,737
Cell Phone,374,7743
Commercial Veh on Pkwy,3,89
Cruising For Passengers,0,0
Disobey Traffic Control Device,1159,40595
Driving Too Slow,1,7
Equipment,419,5433
Equipment (Other),1,13
Excessive Noise,0,2
Fail to Keep Right,3,28
Fail to yield Right of Way to Pedestrian,862,20388
Failure to Signal,112,3392
Failure to yield Right of Way to Vehicle,1,12
Following Too Closely,5,75
Improper Passing,48,507
Improper Taxi Pickup,1,41
Improper Turn,601,17664
Improper/Missing Plates,61,378
Lamps and Other Equipment on Bicycle,3,21
Motorcycle (Other),18,165
Not Giving R of W to Veh.,14,271
Obstructed Plate,97,1861
One Way Street,26,687
Overheight,0,2
Overlength,1,15
Overweight,1,3
Overwidth,0,1
Pavement Markings,11,57
Red Light,985,17640
School Bus,0,601
Scooter In NYC,1,7
Seat Belt,616,12278
Speeding,1772,33373
Spillback,10,192
TBTA Rule,0,1
Tints,212,7937
TLC (Other),0,0
Truck Route,17,876
Uninspected,55,638
Uninsured,165,2458
Unlicensed Operator,875,12121
Unregistered,303,3093
Unsafe Lane Change,15,547
Other Movers,794,18665
TOTAL Movers,9723,211496
