Manhattan South,,
Backing Unsafely,0,20
Bike Lane,0,216
Bus Lane,1,112
Cell Phone,3,402
Commercial Veh on Pkwy,0,1
Cruising For Passengers,0,0
Disobey Traffic Control Device,37,2967
Driving Too Slow,0,0
Equipment,5,278
Equipment (Other),0,2
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,3,3475
Failure to Signal,0,326
Failure to yield Right of Way to Vehicle,0,3
Following Too Closely,0,7
Improper Passing,0,42
Improper Taxi Pickup,1,27
Improper Turn,2,2913
Improper/Missing Plates,1,27
Lamps and Other Equipment on Bicycle,1,3
Motorcycle (Other),0,31
Not Giving R of W to Veh.,0,25
Obstructed Plate,1,133
One Way Street,2,121
Overheight,0,0
Overlength,0,2
Overweight,0,1
Overwidth,0,0
Pavement Markings,0,5
Red Light,5,1799
School Bus,0,64
Scooter In NYC,0,0
Seat Belt,5,828
Speeding,101,2547
Spillback,0,57
TBTA Rule,0,0
Tints,0,269
TLC (Other),0,0
Truck Route,0,163
Uninspected,0,22
Uninsured,1,69
Unlicensed Operator,9,435
Unregistered,0,72
Unsafe Lane Change,0,104
Other Movers,10,2069
TOTAL Movers,188,19637
