67th Precinct,,
Backing Unsafely,0,3
Bike Lane,0,0
Bus Lane,2,21
Cell Phone,17,135
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,88,823
Driving Too Slow,0,0
Equipment,3,78
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,71,450
Failure to Signal,0,9
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,1,1
Improper Passing,1,9
Improper Taxi Pickup,0,3
Improper Turn,31,305
Improper/Missing Plates,0,5
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),0,0
Not Giving R of W to Veh.,0,0
Obstructed Plate,7,59
One Way Street,0,2
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,48,564
School Bus,0,6
Scooter In NYC,0,0
Seat Belt,58,197
Speeding,93,758
Spillback,0,2
TBTA Rule,0,0
Tints,0,44
TLC (Other),0,0
Truck Route,5,16
Uninspected,0,20
Uninsured,1,42
Unlicensed Operator,35,275
Unregistered,11,97
Unsafe Lane Change,0,3
Other Movers,47,268
TOTAL Movers,519,4196
