Transportation Bureau,,
Backing Unsafely,1,37
Bike Lane,1,27
Bus Lane,30,211
Cell Phone,167,1233
Commercial Veh on Pkwy,121,1250
Cruising For Passengers,3,8
Disobey Traffic Control Device,682,14024
Driving Too Slow,1,4
Equipment,749,5417
Equipment (Other),1,8
Excessive Noise,0,1
Fail to Keep Right,0,17
Fail to yield Right of Way to Pedestrian,157,3388
Failure to Signal,118,1272
Failure to yield Right of Way to Vehicle,0,6
Following Too Closely,25,276
Improper Passing,23,196
Improper Taxi Pickup,9,405
Improper Turn,100,4111
Improper/Missing Plates,30,136
Lamps and Other Equipment on Bicycle,0,5
Motorcycle (Other),96,177
Not Giving R of W to Veh.,11,106
Obstructed Plate,325,1083
One Way Street,5,532
Overheight,7,54
Overlength,21,319
Overweight,24,1126
Overwidth,5,192
Pavement Markings,1,53
Red Light,77,1436
School Bus,0,29
Scooter In NYC,0,0
Seat Belt,727,3978
Speeding,5447,51835
Spillback,19,632
TBTA Rule,0,0
Tints,244,3393
TLC (Other),0,0
Truck Route,115,1236
Uninspected,108,570
Uninsured,130,953
Unlicensed Operator,680,4670
Unregistered,263,1444
Unsafe Lane Change,93,910
Other Movers,527,5584
TOTAL Movers,11143,112344
