Patrol Bureau,,
Backing Unsafely,13,175
Bike Lane,46,833
Bus Lane,18,766
Cell Phone,801,9124
Commercial Veh on Pkwy,11,106
Cruising For Passengers,0,0
Disobey Traffic Control Device,2222,44646
Driving Too Slow,0,8
Equipment,472,6444
Equipment (Other),0,14
Excessive Noise,0,2
Fail to Keep Right,5,37
Fail to yield Right of Way to Pedestrian,1179,22636
Failure to Signal,127,3617
Failure to yield Right of Way to Vehicle,0,14
Following Too Closely,11,90
Improper Passing,53,605
Improper Taxi Pickup,2,43
Improper Turn,1195,19811
Improper/Missing Plates,49,463
Lamps and Other Equipment on Bicycle,0,23
Motorcycle (Other),21,209
Not Giving R of W to Veh.,13,304
Obstructed Plate,174,2157
One Way Street,40,756
Overheight,0,2
Overlength,1,16
Overweight,0,3
Overwidth,0,1
Pavement Markings,4,66
Red Light,1560,20449
School Bus,2,603
Scooter In NYC,0,7
Seat Belt,1684,14962
Speeding,2476,37663
Spillback,11,206
TBTA Rule,0,1
Tints,363,8559
TLC (Other),0,0
Truck Route,30,923
Uninspected,66,751
Uninsured,246,2870
Unlicensed Operator,1299,14462
Unregistered,454,3868
Unsafe Lane Change,33,609
Other Movers,2024,22124
TOTAL Movers,16705,241028
