Citywide,,
Backing Unsafely,28,280
Bike Lane,108,1211
Bus Lane,75,1275
Cell Phone,1140,14443
Commercial Veh on Pkwy,155,1780
Cruising For Passengers,1,25
Disobey Traffic Control Device,5533,74090
Driving Too Slow,1,21
Equipment,1063,16291
Equipment (Other),3,29
Excessive Noise,0,3
Fail to Keep Right,5,71
Fail to yield Right of Way to Pedestrian,2236,33111
Failure to Signal,502,6192
Failure to yield Right of Way to Vehicle,3,31
Following Too Closely,42,503
Improper Passing,95,1106
Improper Taxi Pickup,11,512
Improper Turn,1911,29634
Improper/Missing Plates,126,1017
Lamps and Other Equipment on Bicycle,2,43
Motorcycle (Other),49,650
Not Giving R of W to Veh.,33,532
Obstructed Plate,866,6352
One Way Street,116,1599
Overheight,8,74
Overlength,32,433
Overweight,136,1603
Overwidth,26,264
Pavement Markings,11,145
Red Light,3077,30840
School Bus,12,751
Scooter In NYC,0,7
Seat Belt,1660,26646
Speeding,8648,116649
Spillback,29,925
TBTA Rule,0,2
Tints,1517,16137
TLC (Other),0,0
Truck Route,242,2624
Uninspected,257,2058
Uninsured,672,5819
Unlicensed Operator,2707,28004
Unregistered,1189,9041
Unsafe Lane Change,198,2024
Other Movers,3212,38485
TOTAL Movers,37737,473332
