Brooklyn North,,
Backing Unsafely,0,33
Bike Lane,33,481
Bus Lane,50,110
Cell Phone,58,1042
Commercial Veh on Pkwy,1,9
Cruising For Passengers,0,0
Disobey Traffic Control Device,738,9320
Driving Too Slow,0,1
Equipment,117,1370
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,4
Fail to yield Right of Way to Pedestrian,196,2318
Failure to Signal,80,938
Failure to yield Right of Way to Vehicle,0,5
Following Too Closely,5,20
Improper Passing,28,305
Improper Taxi Pickup,0,2
Improper Turn,208,2176
Improper/Missing Plates,3,67
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),9,103
Not Giving R of W to Veh.,2,54
Obstructed Plate,114,565
One Way Street,40,268
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,4
Red Light,500,4257
School Bus,2,64
Scooter In NYC,0,5
Seat Belt,227,3099
Speeding,137,3588
Spillback,1,29
TBTA Rule,0,0
Tints,162,2367
TLC (Other),0,0
Truck Route,7,207
Uninspected,7,132
Uninsured,96,884
Unlicensed Operator,342,3309
Unregistered,191,1258
Unsafe Lane Change,4,64
Other Movers,246,3954
TOTAL Movers,3604,42413
