Staten Island,,
Backing Unsafely,3,3
Bike Lane,0,0
Bus Lane,30,30
Cell Phone,25,25
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,146,146
Driving Too Slow,0,0
Equipment,36,36
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,12,12
Failure to Signal,30,30
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,1,1
Improper Passing,1,1
Improper Taxi Pickup,0,0
Improper Turn,31,31
Improper/Missing Plates,5,5
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,1,1
Obstructed Plate,76,76
One Way Street,6,6
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,82,82
School Bus,0,0
Scooter In NYC,0,0
Seat Belt,56,56
Speeding,561,561
Spillback,0,0
TBTA Rule,0,0
Tints,119,119
TLC (Other),0,0
Truck Route,0,0
Uninspected,9,9
Uninsured,21,21
Unlicensed Operator,137,137
Unregistered,38,38
Unsafe Lane Change,7,7
Other Movers,97,97
TOTAL Movers,1530,1530
