Queens North,,
Backing Unsafely,1,3
Bike Lane,6,22
Bus Lane,3,62
Cell Phone,156,939
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,615,3636
Driving Too Slow,0,0
Equipment,90,482
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,5,14
Fail to yield Right of Way to Pedestrian,302,1491
Failure to Signal,22,97
Failure to yield Right of Way to Vehicle,0,1
Following Too Closely,2,7
Improper Passing,7,30
Improper Taxi Pickup,0,0
Improper Turn,164,897
Improper/Missing Plates,18,164
Lamps and Other Equipment on Bicycle,0,3
Motorcycle (Other),7,23
Not Giving R of W to Veh.,5,17
Obstructed Plate,44,201
One Way Street,6,36
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,2,4
Red Light,250,1414
School Bus,0,7
Scooter In NYC,0,0
Seat Belt,186,1108
Speeding,500,2800
Spillback,1,2
TBTA Rule,0,0
Tints,188,902
TLC (Other),0,0
Truck Route,11,33
Uninspected,11,68
Uninsured,34,171
Unlicensed Operator,252,1309
Unregistered,54,285
Unsafe Lane Change,4,27
Other Movers,283,1723
TOTAL Movers,3229,17978
