Bronx,,
Backing Unsafely,0,13
Bike Lane,13,94
Bus Lane,24,301
Cell Phone,188,948
Commercial Veh on Pkwy,0,3
Cruising For Passengers,0,0
Disobey Traffic Control Device,572,4060
Driving Too Slow,0,0
Equipment,137,863
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,1,16
Fail to yield Right of Way to Pedestrian,420,2626
Failure to Signal,20,230
Failure to yield Right of Way to Vehicle,0,1
Following Too Closely,6,33
Improper Passing,12,60
Improper Taxi Pickup,0,0
Improper Turn,268,2078
Improper/Missing Plates,50,280
Lamps and Other Equipment on Bicycle,6,14
Motorcycle (Other),3,24
Not Giving R of W to Veh.,5,39
Obstructed Plate,124,888
One Way Street,10,63
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,2,26
Red Light,302,1978
School Bus,2,18
Scooter In NYC,0,0
Seat Belt,356,1255
Speeding,404,4107
Spillback,4,17
TBTA Rule,0,0
Tints,180,1482
TLC (Other),0,0
Truck Route,11,20
Uninspected,73,390
Uninsured,166,1084
Unlicensed Operator,465,3347
Unregistered,336,2239
Unsafe Lane Change,27,159
Other Movers,382,2182
TOTAL Movers,4569,30938
