Queens South,,
Backing Unsafely,1,12
Bike Lane,12,59
Bus Lane,4,159
Cell Phone,129,1010
Commercial Veh on Pkwy,3,10
Cruising For Passengers,0,1
Disobey Traffic Control Device,365,3003
Driving Too Slow,0,1
Equipment,250,1487
Equipment (Other),0,1
Excessive Noise,2,7
Fail to Keep Right,1,3
Fail to yield Right of Way to Pedestrian,209,1537
Failure to Signal,39,391
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,1,2
Improper Passing,13,104
Improper Taxi Pickup,0,1
Improper Turn,180,1665
Improper/Missing Plates,37,256
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),6,31
Not Giving R of W to Veh.,6,63
Obstructed Plate,31,355
One Way Street,10,51
Overheight,0,0
Overlength,0,1
Overweight,0,1
Overwidth,0,0
Pavement Markings,0,15
Red Light,240,1897
School Bus,0,23
Scooter In NYC,0,0
Seat Belt,221,1792
Speeding,634,4091
Spillback,0,4
TBTA Rule,0,0
Tints,62,768
TLC (Other),0,0
Truck Route,1,13
Uninspected,39,239
Uninsured,83,530
Unlicensed Operator,338,2636
Unregistered,154,1122
Unsafe Lane Change,5,24
Other Movers,364,3014
TOTAL Movers,3440,26379
