13th Precinct,,
Backing Unsafely,0,1
Bike Lane,2,17
Bus Lane,8,15
Cell Phone,10,121
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,24,344
Driving Too Slow,0,0
Equipment,15,40
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,13
Fail to yield Right of Way to Pedestrian,34,284
Failure to Signal,1,9
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,0
Improper Passing,0,1
Improper Taxi Pickup,0,0
Improper Turn,74,779
Improper/Missing Plates,2,5
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),0,2
Not Giving R of W to Veh.,0,1
Obstructed Plate,5,22
One Way Street,5,21
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,40,492
School Bus,0,15
Scooter In NYC,0,0
Seat Belt,20,189
Speeding,18,236
Spillback,0,2
TBTA Rule,0,0
Tints,10,69
TLC (Other),0,0
Truck Route,0,6
Uninspected,0,0
Uninsured,0,6
Unlicensed Operator,8,79
Unregistered,1,37
Unsafe Lane Change,0,5
Other Movers,38,328
TOTAL Movers,315,3140
