Manhattan North,,
Backing Unsafely,2,20
Bike Lane,14,105
Bus Lane,5,74
Cell Phone,181,1190
Commercial Veh on Pkwy,0,3
Cruising For Passengers,0,0
Disobey Traffic Control Device,439,4471
Driving Too Slow,0,0
Equipment,183,745
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,345,3653
Failure to Signal,10,139
Failure to yield Right of Way to Vehicle,0,2
Following Too Closely,1,9
Improper Passing,2,16
Improper Taxi Pickup,0,4
Improper Turn,267,2916
Improper/Missing Plates,24,70
Lamps and Other Equipment on Bicycle,6,57
Motorcycle (Other),4,14
Not Giving R of W to Veh.,3,15
Obstructed Plate,56,372
One Way Street,12,187
Overheight,0,0
Overlength,0,2
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,386,3956
School Bus,0,18
Scooter In NYC,0,0
Seat Belt,205,2479
Speeding,430,2999
Spillback,4,9
TBTA Rule,0,0
Tints,294,1142
TLC (Other),0,0
Truck Route,3,57
Uninspected,20,130
Uninsured,83,453
Unlicensed Operator,267,1759
Unregistered,146,808
Unsafe Lane Change,4,33
Other Movers,391,2315
TOTAL Movers,3787,30222
