Transportation Bureau,,
Backing Unsafely,4,27
Bike Lane,2,17
Bus Lane,124,208
Cell Phone,179,755
Commercial Veh on Pkwy,86,861
Cruising For Passengers,23,58
Disobey Traffic Control Device,2136,10585
Driving Too Slow,1,12
Equipment,471,4726
Equipment (Other),1,11
Excessive Noise,0,0
Fail to Keep Right,3,5
Fail to yield Right of Way to Pedestrian,166,889
Failure to Signal,73,775
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,23,185
Improper Passing,12,180
Improper Taxi Pickup,65,163
Improper Turn,131,1282
Improper/Missing Plates,98,476
Lamps and Other Equipment on Bicycle,0,2
Motorcycle (Other),86,497
Not Giving R of W to Veh.,6,95
Obstructed Plate,516,4108
One Way Street,15,68
Overheight,10,69
Overlength,21,330
Overweight,54,784
Overwidth,14,269
Pavement Markings,4,30
Red Light,131,742
School Bus,6,26
Scooter In NYC,0,0
Seat Belt,1069,5535
Speeding,4909,52356
Spillback,30,87
TBTA Rule,0,0
Tints,438,3084
TLC (Other),0,0
Truck Route,78,763
Uninspected,115,1138
Uninsured,124,1383
Unlicensed Operator,567,5064
Unregistered,329,2785
Unsafe Lane Change,56,646
Other Movers,832,4036
TOTAL Movers,13008,105112
