Housing Bureau,,
Backing Unsafely,0,0
Bike Lane,0,4
Bus Lane,0,0
Cell Phone,0,5
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,3,26
Driving Too Slow,0,0
Equipment,6,51
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,0,2
Failure to Signal,0,9
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,2
Improper Passing,0,4
Improper Taxi Pickup,0,0
Improper Turn,1,2
Improper/Missing Plates,0,3
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,1,4
Obstructed Plate,3,24
One Way Street,1,2
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,2,27
School Bus,0,0
Scooter In NYC,0,0
Seat Belt,3,22
Speeding,0,1
Spillback,0,0
TBTA Rule,0,0
Tints,4,29
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,1
Uninsured,4,28
Unlicensed Operator,5,50
Unregistered,6,35
Unsafe Lane Change,1,3
Other Movers,4,27
TOTAL Movers,44,362
